"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1909392178688016474","Mon Apr 07 23:45:44 +0000 2025","20","Presiden Prabowo Subianto bertemu sejumlah pemimpin redaksi di Padepokan Garuda Yaksa Hambalang Kabupaten Bogor pada Minggu (6/4/2025) pagi. Blak-Blakan! 3 jam Presiden Prabowo Jawab Para Pemred: RUU TNI hingga Perang Dagang Trump! Selengkapnya di Youtube Channel KompasTV https://t.co/aI5Rn3o1wW","1909392178688016474","https://pbs.twimg.com/media/Gn-GD8Xa8AAuspa.jpg","","in","Indonesia","2","3","4","https://x.com/KompasTV/status/1909392178688016474","71436318","KompasTV"
"1909201227042447786","Mon Apr 07 23:45:43 +0000 2025","0","@AirinDatangLagi ngeri ternyata memang tdk tahu proses revisi RUU TNI suram banget. dipilih oleh rakyat tpi ternyata tidak untuk rakyat ","1909392172585304099","","AirinDatangLagi","in","Surabaya,Indonesia","0","0","0","https://x.com/dandyez/status/1909392172585304099","809082996","dandyez"
"1909220939532808646","Mon Apr 07 23:44:06 +0000 2025","0","@tanyarlfes gue keburu males bgt dengar arguenya lihat cuplikan pas ditanya soal urgensi ruu TNI aja udh muak dan gak gue lanjutin karna jawabannya kaga nyambung alias ya asbun aja isi video wawancara itu jdi kek full tanya tanpa jawaban","1909391768065655228","","tanyarlfes","in","","0","0","0","https://x.com/wnhanz/status/1909391768065655228","1754390221230403585","wnhanz"
"1909391308999024989","Mon Apr 07 23:42:17 +0000 2025","0","Demo apa yg dibayar? Demo mendukung ruu tni? Demo ga jelas didepan aeon?","1909391308999024989","","","in","kasur ","0","1","0","https://x.com/comfyycloud/status/1909391308999024989","1717730053348569088","comfyycloud"
"1909220939532808646","Mon Apr 07 23:40:26 +0000 2025","1","@f12xos @tanyarlfes pada inget ga kemarin ada yang demo di depan gedung DPR menyuarakan suaranya mendukung disahkannya RUU TNI? mungkin itu yang prabowo maksud dengan demo dibayar","1909390842223378581","","f12xos","in","","0","0","0","https://x.com/tandaketik/status/1909390842223378581","1046537578873204737","tandaketik"
"1909157641726857488","Mon Apr 07 23:40:21 +0000 2025","0","@ardisatriawan Yaaaa yang bikin siapa yang langgar siapa ... itu artinya ya Semau Gue ... sama persis seperti rakyat udah demo soal RUU TNI dan minta percepatan UU SITA ASET KORUPTOR .... YA SEMAU GUE ... PADAHAL KEUANGAN NEGARA SUDAH KRITIS DI KORUPSI KRONI² LINGKARAN PENGUASA ...","1909390824364032348","","ardisatriawan","in","VBI ","0","0","0","https://x.com/Baguscar/status/1909390824364032348","495573427","Baguscar"
"1909390502816104506","Mon Apr 07 23:39:05 +0000 2025","0","Belum nonton full tapi tanggapan soal demo masal yang malah menuduh ada yang menunggangi saya kurang puas dengan jawabannya. Lalu jawaban soal transparansi RUU TNI juga sama sekali ga memuaskan. Tapi saya apresiasi bikin program seperti itu alih-alih sewa buzzer.","1909390502816104506","","","in","twitter","0","0","1","https://x.com/four_kardanardi/status/1909390502816104506","373824005","four_kardanardi"
"1909390237551174086","Mon Apr 07 23:38:02 +0000 2025","16","NAJWA SHIHAB MENGUNGKAP : MOMEN Pertemuan Dengan PRESIDEN PRABOWO Selama 6 Jam di HAMBALANG. Tentang : - RUU TNI Hingga RUU Polri. https://t.co/7p6eOv3vWY","1909390237551174086","https://pbs.twimg.com/ext_tw_video_thumb/1909390032357691392/pu/img/LlQjkjkUB_bvTO0v.jpg","","in","Solo (Bekasi Timur), Indonesia","0","2","6","https://x.com/SETYAKI22965702/status/1909390237551174086","1322361095407902721","SETYAKI22965702"
"1909387087973171642","Mon Apr 07 23:25:31 +0000 2025","0","setelah diskusi sm papi ttg RUU TNI #sorrytelat beliau tau lebih banyak gimana kejadian '98 yg sama seperti sekarang tapi kenapa beliau diam saja mau salah/benar ya? benar jika melindungi jabatan tapi ada cara lain untuk mendukung atau bersuara bukan?","1909387087973171642","","","in","","0","0","0","https://x.com/hio_id/status/1909387087973171642","1220262122652758017","hio_id"
"1909386441177940097","Mon Apr 07 23:22:56 +0000 2025","0","yakali ishowspeed ditunjukin kasus korupsi di indonesia posisi terakhir harun masiku atau dikasih ruu tni yang final","1909386441177940097","","","in","","0","0","0","https://x.com/akunkuinipun/status/1909386441177940097","1493205638842707969","akunkuinipun"
